Global Temperature (Climatic Research Unit)
Year, Anomaly, Smoothed
1850, -0.373, -0.300
1851, -0.218, -0.297
1852, -0.228, -0.297
1853, -0.269, -0.302
1854, -0.248, -0.311
1855, -0.272, -0.324
1856, -0.358, -0.338
1857, -0.461, -0.351
1858, -0.467, -0.363
1859, -0.284, -0.371
1860, -0.343, -0.375
1861, -0.407, -0.375
1862, -0.524, -0.370
1863, -0.278, -0.361
1864, -0.494, -0.349
1865, -0.279, -0.335
1866, -0.251, -0.321
1867, -0.321, -0.310
1868, -0.238, -0.300
1869, -0.262, -0.295
1870, -0.276, -0.292
1871, -0.335, -0.290
1872, -0.227, -0.288
1873, -0.304, -0.284
1874, -0.368, -0.275
1875, -0.395, -0.263
1876, -0.384, -0.249
1877, -0.075, -0.237
1878,  0.035, -0.228
1879, -0.230, -0.227
1880, -0.227, -0.234
1881, -0.200, -0.247
1882, -0.213, -0.266
1883, -0.296, -0.286
1884, -0.409, -0.305
1885, -0.389, -0.321
1886, -0.367, -0.333
1887, -0.418, -0.342
1888, -0.307, -0.348
1889, -0.171, -0.353
1890, -0.416, -0.358
1891, -0.330, -0.361
1892, -0.455, -0.361
1893, -0.473, -0.358
1894, -0.410, -0.351
1895, -0.390, -0.342
1896, -0.186, -0.332
1897, -0.206, -0.324
1898, -0.412, -0.321
1899, -0.289, -0.325
1900, -0.203, -0.333
1901, -0.259, -0.347
1902, -0.402, -0.364
1903, -0.479, -0.382
1904, -0.520, -0.399
1905, -0.377, -0.415
1906, -0.283, -0.428
1907, -0.465, -0.438
1908, -0.511, -0.444
1909, -0.522, -0.445
1910, -0.490, -0.440
1911, -0.544, -0.427
1912, -0.437, -0.410
1913, -0.424, -0.390
1914, -0.244, -0.370
1915, -0.141, -0.351
1916, -0.383, -0.335
1917, -0.468, -0.321
1918, -0.333, -0.308
1919, -0.275, -0.295
1920, -0.247, -0.284
1921, -0.187, -0.272
1922, -0.302, -0.260
1923, -0.276, -0.249
1924, -0.294, -0.239
1925, -0.215, -0.229
1926, -0.108, -0.220
1927, -0.210, -0.211
1928, -0.206, -0.203
1929, -0.350, -0.195
1930, -0.137, -0.186
1931, -0.087, -0.177
1932, -0.137, -0.166
1933, -0.273, -0.153
1934, -0.131, -0.138
1935, -0.178, -0.120
1936, -0.147, -0.100
1937, -0.026, -0.080
1938, -0.006, -0.059
1939, -0.052, -0.040
1940,  0.014, -0.024
1941,  0.020, -0.013
1942, -0.027, -0.006
1943, -0.004, -0.003
1944,  0.144, -0.004
1945,  0.025, -0.010
1946, -0.071, -0.019
1947, -0.038, -0.029
1948, -0.039, -0.038
1949, -0.074, -0.046
1950, -0.173, -0.053
1951, -0.052, -0.058
1952,  0.028, -0.062
1953,  0.097, -0.065
1954, -0.129, -0.067
1955, -0.190, -0.066
1956, -0.267, -0.062
1957, -0.007, -0.055
1958,  0.046, -0.048
1959,  0.017, -0.041
1960, -0.049, -0.037
1961,  0.038, -0.037
1962,  0.014, -0.043
1963,  0.048, -0.050
1964, -0.223, -0.058
1965, -0.140, -0.065
1966, -0.068, -0.070
1967, -0.074, -0.073
1968, -0.113, -0.075
1969,  0.032, -0.076
1970, -0.027, -0.077
1971, -0.186, -0.080
1972, -0.065, -0.082
1973,  0.062, -0.083
1974, -0.214, -0.079
1975, -0.149, -0.071
1976, -0.241, -0.058
1977,  0.047, -0.039
1978, -0.062, -0.017
1979,  0.057,  0.005
1980,  0.092,  0.026
1981,  0.140,  0.044
1982,  0.011,  0.058
1983,  0.194,  0.070
1984, -0.014,  0.082
1985, -0.030,  0.095
1986,  0.045,  0.110
1987,  0.192,  0.127
1988,  0.198,  0.145
1989,  0.118,  0.163
1990,  0.296,  0.179
1991,  0.254,  0.195
1992,  0.105,  0.211
1993,  0.148,  0.229
1994,  0.208,  0.251
1995,  0.325,  0.274
1996,  0.183,  0.300
1997,  0.390,  0.326
1998,  0.539,  0.352
1999,  0.306,  0.376
2000,  0.294,  0.399
2001,  0.441,  0.420
2002,  0.496,  0.438
2003,  0.505,  0.454
2004,  0.447,  0.466
2005,  0.545,  0.474
2006,  0.506,  0.481
2007,  0.491,  0.487
2008,  0.395,  0.492
2009,  0.506,  0.500
2010,  0.560,  0.513
2011,  0.425,  0.529
2012,  0.470,  0.550
2013,  0.514,  0.574
2014,  0.579,  0.598
2015,  0.763,  0.620
2016,  0.797,  0.637
2017,  0.677,  0.648
2018,  0.597,  0.652
2019,  0.736,  0.651
